"MAKE";"TYP";"MODEL";"BTNAME";"BTADDRESS";"SERVICEREQ";"WORKDONE";"MEMO";"P1";"P10";"P11";"P12";"P13";"P14";"P15";"P2";"P3";"P4";"P5";"P6";"P7";"P8";"P9";"PD1";"PD10";"PD11";"PD12";"PD13";"PD14";"PD15";"PD2";"PD3";"PD4";"PD5";"PD6";"PD7";"PD8";"PD9"
"Lg";"TV";"OLED65CXPUA.DUSQLJR";;;"TV DOES NOT TURN ON. UNIT HAS BEEN OPENED BY CUSTOMER";"Main pcb is no longer available. unable to repair without main pcb. dk";"6/21/2025, Customer picked the unit, K, Naeem.

06/17 customer decided not to pursue repair, main is nla. dk

5/1/2025, Shop Note:
Unit was brought by customer opened, back cover opened, power cord and stand removed. 
The customer has opened the unit to repair, has ordered parts from eBay, installed some parts, but no luck. Then decided to bring it to us for service. This unit may or may not be serviceable. K

When the unit was checked in, it was plugged in, no video, no standby light and no backlight was observed.

5/2/2025, Repair Report:
On the original parts, measured voltage output of the power supply to the main board; 3.3V, 12V, and 20V present on the power supply output connector and on the main board connector, but no standby light on the IR unit. Replaced the main and power supply one at a time, took the same measurements, the same values were observed, but still no standby light. Re-installed the original parts, and put the replacement parts back in the box. The customer parts are in the shipping on the shelf ""01"". We may get a new main and IR module. K

5/6/2025, Customer called for update. Was notified that his parts did not work and we are expecting new parts. Customer wants to return the parts he has ordered from online by May 20th or so. K
 
05/12 customer pu remote and parts dk

05/13 customer called to check on progress. dk

05/15/25, Repair Update:
The IR unit was installed, it did not change the outcome. The main board has no output to the IR unit. Voltages present on the main board connector from PS. This indicates a faulty main board. The new IR unit was removed and put back on the shelf in R2B location. K-GP

5/20/2025, Customer called for update. Was told that we will get back to him. Dale has some information for him. K


";"EBT66416903";;;;;;;"EBR87149001";;;;;;;;"Main or kit";;;;;;;"IR Module 24Enc";;;;;;;
"Whirlpool";"refrigerator";"WRT541SZDZ01";"selfpay";"7741470110";"NO COOLING NO ICE";;"05/02/25 customer ok with $65.00 trip $40.00 diagnostic plus tax gs

Sealed systerm. R600a.  FZ to 32F.  Rf to 48F.  Compressor runs.  
Two credit cards not run due to ""invalid"" when called to shop.
Attempted (Dale) to call customer and run another card.  Customer refused to pay and was argumentative with Dale
Blacklist customer. Do not give estimate due to nonpayment.
Even if payment, TB will not do anymore work (time) for this customer. 05/06 TB";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Amana";"washer";"NTW4519JW2";"Whirlpool Warranty";"7741475758";"THE DRAIN  RUN CONSTAIN  THE DRAIN PUMP IS  THE BORAD";"Changed parts. op ok";"Changed parts. 06/20/25 tb";"W11607637";;;;;;;"W11038689";"W10919003";"W11428524";"W11665967";"CRM";;;;"Main 13548 +C60";;;;;;;"#Inlet Valve 4045";"#Drain pump 11658";"Capacitor 5548";"#Harness 2952";"6/23/25";;;
"Epson";"proj, ldc";"H930A";;;"SHUTS OFF AFTER POWERING UP AND GIVES A BLINKING ERROR CODE";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Adcom";"preamp";"GFP-565";;;"HAD A BUZZING IN OUTPUT, AT ONE POINT IT WORKED FINE FOR ABOUT 3 DAYS. NOW IT POWERS ON BUT HAS BUZZING OUTPUT";"replaced capacitors. has clean audio out from all sources. finished 08/27/25 krd";;"UPJ1C222MHD6CA";;;;;;;"860240578010";"LP472M050H3P3";;;;;;;"2200uF 16V";;;;;;;"470uF 35V";"4700uF 50V";;;;;;
"Sae";"preamp/eq";;;;"WHEN MOVING BALANCE FROM SIDE TO SIDE THE SAME SPEAKER PLAYS AND THE OTHER IS MUTED WHEN THE BALANCE IS ON EITHER EXTREME. WITH STEREO BUTTON IN ONE SPEAKER PLAYS WITH STER REV IN THE OTHER PLAYS";"tested, all functions work properly. has clean audio out from both channels. finished 07/30/25 krd";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Philips";"am/fm/cd";"FW-C550/37";"file";;"WILL NOT PLAY CDS BECAUSE DOOR WILL NOT OPEN AND CLOSE. ALSO THEY WOULD LIKE A REMOTE IF THAT'S AVAILABLE.";"replaced belts. door opens and closes. plays cds properly. has clean audio out. finished 07/31/25 krd";"07/31/25 unit picked up by customer. dk";;;;;;;;;;;;;;;;"8"" sqr. belt";;;;;;;"6.2"" sqr. belt";;;;;;;
"Whirlpool";"w/d combo";"WETLV27HW2";"Whirlpool 3rd party";;"THE WASHING MACHINE IS VERY NOISY BANGING . THE DRUM IS VERY LOOS";"CHANGED PARTS. OP OKAY";"Diag.  Even if ""just"": dampers, W/D combo MAY take 2 techs to change parts. 

Unit approx 4 yrs old
Stacked combo. Dryer on washer
Unit is unbalanced and has evidence of GC leaking on motor/belt. 
Unit is in garage and will have to be moved back and forth qat least twice.  05/12/25 tb

Changed parts. Helped customer reinstall. 05/20/25 tb
";"W11454741";"W11158830";"CRM";;;;;"285565";"WP21366";"WP389140";"W10780045";"W10913953";"W10721967";"W11239857";"W11417071";"GC 16478";"Capacitor 14636";"5/26/25";;;;;"Agitator 11969";"Span Nut 0316";"Block 0720";"Suspension 4766";"Actuator 3180";"Cam Kit 1786";"Belt 2544";"#Harness 4866"
"Ge";"Range, Elec";"GRF500PVSS";"GE warranty";"074256539";"FRONT RIGHT BURNER WON T TURN OFF";;"wrong phone # ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"GE";"microwave";"PEB9159SJ3SS";"GE warranty";"074258151";" MAKING NOISE LIKE RUBBING ON METAL CLINKING

";"Changed parts. op ok";"06/19 customer called says part showed up at their house. <<intials>>

Changed parts. 06/23/25 tb";"WB26X32190";;;;;;;"WB06X10925";"WB02X27104";"WB06X10860";"WB26X10253";"CRM";;;;"#TT Motor 4586";;;;;;;"#Coupler 1132";"Ring 2614";"#Fan 0697";"#Fan Mot 3900";"6/27/25";;;
"Whirlpool";"refrigerator";"WRS571CIHZ01";"Whirlpool 3rd party";;"ICE IS COMING OUT IN CHUNKS  AND MELTING AND WATER IS RUNNING DOWN THE REFRIGERATOR SHE ALSO THINKS THE FILTERIS LEAKING";"Changed parts. op ok";"Diag

Stainless Steel
Door has obstruction in water line causing water to shoot out over ice maker and down door. 05/13/25 tb

Installed door. Water is OFF behind the unit. Need adapter couplers for different size water tubes at hinge. 06/13 TB

No answer phone (x 2) or door. LVM x2. Reschedule. 07/02 TB

Changed parts. 07/10/25 tb";"LW11202405";;;;;;;"W10873791";"W11109888";"WP4388201";"WP4211117";"CRM";;;;"Lt Door 78275";;;;;;;"#IM 5305";"#Ice Cont 16133";"Coupler";"Coupler";"7/23/25";;;
"LG";"Range, Elec";"LSE4615BM/00";"New Leaf";"7342124-1";"RIGHT FRONT BURNERIS NOT GETTING HOT LIKE IT SHOULD,  I PREFER NOT TO SCRATCH OUR KITCHEN WOOD FLOORING AGAIN IF YOU CAN TRACE THE PHOTO INFO BACK IN YOUR RECORD";"CHANGED PARTS. OP OKAY";"Cx declined 5/29 sc offer, NE. 

Changed parts. Returned knobs to correct swtiches. 06/03 TB";"MEE62704901";;;;;;;"EBF62174901";"EBF62174908";;;;;;;"Element 170.24";;;;;;;"Switch 69.00";"#Switch 47.34";;;;;;
"Whirlpool";"washer";"WTW4955HW3";"Whirlpool 3rd party";;"UNIT START AND WHEN IT GOES INTO THE SPIN CYCLE, IT SOUND LIKE THE MOTOR IS STILL GOING";"REPLACED PARTS CHECKED OPERATION OK";"5/15 talked with Whirlpool, and they will send main # W11608056 from Expart SR# 7741507757 RE 

First main is wrong. Casing is incorrect and will not fit on console. 06/10/25 tb

Changed parts. The Motor capacitor was changed on previous call (#61837). 07/07 TB";"W11608056";;;;;;;"W11428524";"W11665968";"W10919003";;"W11608056";"CRM";;;"#Main 13548+";;;;;;;"#Capacitor 5548";"#Harness 2784";"#Drain pump 11658";;"Main 13548+C";"7/8/25";;
"Jbl";"bt speaker";"CHARGE 5";;;"WILL NOT CHARGE";"needs new main board, dnr. finished 08/04/25 krd";"9-26-25 Customer said he will come by today 9-26-25
and pick up the unit
GP called customer at 903 am 0n the 9-26-25";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Zenith";"turntable";;;;"TONE ARM IS NOT DROPPING PROPERLY ON 78S, ON/OFF CONTROL SEEMS TO HAVE BROKEN, DOESN'T FEEL RIGHT SUDDENLY";"fixed tone arm and phono on/off/reject switch. one channel has no audio out, parts nla. finished 08/05/25 krd";"8/5/2025, Unit picked up by the customer. No balance due. K
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Whirlpool";"washer";"WTW4816FW0";"Whirlpool 3rd party";;"NOT ADVANCING THROUGH CYCLES.AT TIMES, IT STARTS BEFORE THE CYCLE IS DONE, AND THE CLOTHES ARE STILL WET, BUT SOMETIMES IT WORKS FINE";"The parts that are no longer available have been approved and processed.SR #: 7741533640";"REEDS

The splines in agitator  and gearcase are stripped and smoothed off causing thte agitator and spin baskets to not turn when gearcase shaft turns.  The wires to pump are open/broken. 05/19/25 tb";"W11124783";"WP21366";"285565";;;;;"W11158830";"WPW10661045";"W10780045";"W10678685";;"W11454741";"W10554251";"WP389140";"Main 18952  +C60";"hub Nut 0316";"Agitator 11969";;;;;"Capacitor 14636";"Drain pump 3469";"Damper 4766";"Harness 4869 NLA";;"GC 16478";"Spin Bsk 17475";"Hub Block 0720"
"Samsung";"washer";"WF50A8500AV   00";"CENTRICITY";"BD12886PEY16";"DOOR WILL OCCASIONALLY LEAK AND SOMETIMES THE SCREEN DOESN'T WORK


";"part was on backorder Centricity buyout the unit for the customer";"05/15/25
5/20 Centricity ship the parts to our address ";"DC97-22583D";;;;;;;"DC97-19755N";;;;;;;;"Cont module 19365";;;;;;;"Diaphragm 11963";;;;;;;
"Samsung";"tv";"UN50M5300AFXZA";;;"NO BACKLIGHT BUT HAS IMAGE WHEN VIEWED WITH FLASHLIGHT.";;"BN95-04270A	341.3	LCD
BN96-30065C	291.07	T-con
BN94-12049E	129.81	Main
BN44-00856C	78.34	Power supply
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Mitsubishi";"vcr";"HS-U20";;;"WILL NOT PLAY,. IT EATS THE TAPES.";"cleaned old belt off and replaced belt. plays tapes properly, has clean audio and video out. finished 08/21/25 krd";;;;;;;;;;;;;;;;;"10"" sqr. belt";;;;;;;;;;;;;;
"Panasonic";"microwave";"NN-SN67HS AZH";;;"WHEN TURNED ON IT WILL RUN FOR 30 SECONDS, MAKES A BUZZING SOUND THEN STOPS BUT CLOCK KEEPS COUNTING DOWN.";;"5/9/2025, Shop Note:
The unit panel turns on. When running, it displays error code H97, and locks the door from opening. The unit does not give enough time to further diagnose the symptom, and displays error code immediately. Interlock seems to be OK. Get control board and inverter. Cannot verify the mag performance. Ticket to Dale.

05/12 Emailed Robin Rivas. https://mail.google.com/mail/u/0/#sent/QgrcJHsBpWmRbnXcwzzNJctBCPCxhcTtJLv   dk

6/14/2025, Repair Report:
Replaced the inverter, no effect. With new inverter installed, attempted to replace the control board, it did not match the connectors of the original board. The control Board number is 603LCUOAT, but the new board is F603LBT80AP. K
Contact Panasonic for help, send email to Mr Rivas, check with Dale first. Pix sent to Dale too. Parts returned to shelf. K

6/16/2025, Repair Continuation:
A substitue board from a similar microwave unit was used for testing. The immediate display of error code H97 was not displayed with new inverter, the unit ran for a few seconds then interlock error was observed. At the same time, taking the oppurtunity of the compatability of two microwave uints, although different models, installed the mag from this unit with a working control board, the magnetron did not heat up, and the unit displayed H98, indicating magnetron failure. The unit needs interlock assembly, keep the new inverter and get the control board listed with the correct part number in the bottom of the list in line ""h"" below.
Get Correct Control board and interlock assembley. K

6/20/2025. Parts Status.
Contro board not installed because it did not match the original one and returned to shelf in bin Q5B. New inverter installed, old inverter returned to shelf in Q5B. Interlock micro switches not installed and returned to shelf in bins Q4B and Q5B with note. The new control board not installed because it is the same as the last new one. Returned to Q5B with the other control board. (There are two new wrong control boards in Q5B). The unit has more problems and is waiting for correct control board. K

08/29 emailed Robin Rivas about the control pcbs that arrived are not matching what is in the unit, requested help to get the right pcb. dk

09/02 Correct part is F603LCU00AT according to R Rivas 
https://mail.google.com/mail/u/0/#inbox/QgrcJHsHkxPhcFdMzlHlWhWtFKSLDkpXqnq 
dk

09/12/25 This couple came in and I copied part of the email from Mr. Rivas in which Mr. Rivas stated they'd refund their purchase price and sent that message to their email.. dk
";"F606Y9X90AP";;;;;;;"F603LBT80AP";;"F61785U30XN";"J61415G10XN";"F61415U30XN";"F30209X70EP";"F603LBT80AP";;"Inverter";;;;;;;"Control Board";;"micro sw c";"micro sw c";"microsw";"hook";"dp circuit";
"GE";"refrigerator";"PAD28BYTCFS";"GE warranty";"074294823";"THE WATER PITCHER IS FILLING INCONSISTENTLY AND IT IS PRODUCING VERY LITTLE ICE (5-10 CUBES PER DAY). WE CHECKED THE WATER LINE AND IT SEEMS TO BE WORKING PROPERLY. 

";"CHANGED PARTS. OP OKAY";"Cx text that the warranty replaced the refrigerator, repair is canceled, NE. 
Check incoming water line pressure   This was installed on 5/9. CHECK WATER LINE and filter installation
6/4 cx texed warranty replace refrigerator ";"WR87X32914";;;;;;;"WR57X24979";"WR57X31999";"XWFE";"WR17X33825";;;;;"Valve 5657";;;;;;;"Valve 7302";"Valve 3528";"Filter 5969";"ByPass 3038";;;;
"GE";"dishwasher";"GDF550PSR7SS";"GE warranty";"074295820";"THE DISHWASHER LEAKS WATER FROM THE BOTTOM RIGHT CORNER WHEN YOU RUN IT
";"CHANGED PARTS. OP OKAY";"Cxdeclined 5/22 & 5/29 sc offer 
Check inner door liner and door gasket. also check leveling

Door was binding on frame/cabient. Aligned frame and cabinet. Return parts NU. 06/03/25 tb";"WD19X25461";;;;;;;"WD08X23476";"CRM";;;;;;;"#Drain pump 2505";;;;;;;"#Gasket 1471";"6/7/25";;;;;;
"Whirlpool";"refrigerator";"WRX986SIHV00";"Assurant/Lowes Ext";"48414733";"REFRIGERATOR AND FREEZER NOT WORKING. ICE MAKER HASN+T WORKED FOR SEVERAL MONTHS.";"UNIT IS UNREPAIRABLE. BROKEN WIRES IN CABINET. ASURANT CALLED AND INFORMED.";"Diag.  TB Only
Cust must answer phone on day of call

05/12 customer says 'do not use google maps' dk

Unit Gets AC in, controls light up. No compressor, no fans, no lights.  Relays click , but no active power in AC parts. No AC from PS through cabinet. Cannot fix cabinet. Called Assurant, unit is unrepairable. 05/16 TB";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Maytag";"dryer";"MED6230HW3";"Whirlpool Warranty";;"NOT DRYING THEY SAID THE LINT TRAP TO THE OUTSIDE IS CLEAR , MAKES LOUD CLUNKING  NOISE LIKE THEY HAVE BIG SHOES IN THE DRYER";"06/05/25 Replaced parts. Did not test per cx request";"Check drum welds

05/21/25 No parts installed. Drum cracked, vent to outside needs cleared. Heat ok. geo

06/16 F30209X70EP holder, no switches 8.95
06/05/25 Replaced parts. Unit in garage, could not test, no power outlet. Per Cx request, the unit was repaired in garage, and not tested. Owners not home, nanny signed paperwork. geo";"661570V";;;;;;;"WP3387747";"279973";"WP697772";"W11549461";"W10837240";"WPW10314173";"W10545923";"CRM";"#Belt 0914";;;;;;;"#Element 3644";"#Cut off 2358";"#Fan 2547";"#Motor 13495";"#Idler 1031";"#Rollers678";"Drum20353";"6/9/25"
"KitchenAid";"dishwasher";"KDTE204KBS0";"Whirlpool 3rd party";;"UNIT STARTS  LIGHT COME ON AND THE IT GOES TO CLEAN , UNIT IS NOT FILING WITH WATER AND NOT WASHIN THE DISHES";"06/03/25 Replaced parts. op ok";"Cx declined 5/30 sc offer, NE. 
05/20/25 No parts installed. Wash motor shorted. Valve, drain ok. geo

06/03/25 Replaced parts. op ok geo";"W11462460";;;;;;;"W11434044";"W11462456";"W11460946";"CRM";;;;;"#Main 12813 +C60";;;;;;;"#Inlet valve 3017";"#Drain Pump 2691";"Pump/Motor18813";"6/6/25";;;;
"GE";"microwave";"JVM3160RF9SS";"GE warranty";"074299484";"NOT HEATING";"CHANGED PARTS. OP OKAY";"Changed parts. 06/04/25 tb";"WB49X45009";;;;;;;"WB27X35382";"WB27X38974";"WB27X26368";"WB27X47437";"WB56X47430";"WB10X35573";"CRM";;"#Mag 9500";;;;;;;"Diode 0543";"Fuse 0991";"HV Cap 3768";"#HV Trans 8032";"#Control 10840";"#Latch 2029";"6/7/25";
"Samsung";"refrigerator";"RF28JBEDBSG/AA 14";"Samsung Warranty";"4180818198";"ICEMAKER NOT WORKING";"CHANGED PARTS. OP OKAY";"Changed parts. Not HASS compatible. 06/04/25 tb";"DA82-02675A";;;;;;;"DA97-14474C";"DA97-13829C";"DA97-12540G";"CRM";;;;;"IM kit 17250";;;;;;;"Ice tray 13258";"#Ice route 10045";"Auger 17662";"6/5/25";;;;
"GE";"dryer";"GTD33EASK0WW";"GE warranty";"074315530";"THE DRYER IS NOT TURNING OFF. JUST KEEPS RUNNING.
";"CHANGED PARTS. OP OKAY";"Cx declined 5/22 sc offer, 5/27 lvm txt still out of town, NE. 
Check and record continuity of moisture sensor and harness to main

Changed parts. 06/03 TB
";"WE04X25280";;;;;;;"WE04X26214";"CRM";;;;;;;"Timer 6691";;;;;;;"#Thermost 0695";"6/7/25";;;;;;
"Jennair";"REFRIGERATOR";"JFC2290VEM8";"Whirlpool 3rd party";"7730903836";"THE REFRIGERATOR ICE MAKER DRAWER STICKS AND IS VERY DIFFICULT TO SLIDE OUTIT MAKES ICE BUT THE ICE DRAWER SEEMS TO BE BROKEN";"Changed parts. op ok";"Diag

AIG Repair authorization for parts cost more than $400, servicer should call 1-888-678-8808 

Drawer slides broken and seized. 05/22 TB

Rt slide is riveted to center bracket and cannot be changed independently. Changed Left slits. Still need right. 06/05 TB

Changed parts.  06/13 TB";"WPW10170835";;;;;;;"WPW10120008";"WPW10170987";"CRM";;;;;;"Glide 15983";;;;;;;"Pan Ice 7100";"Glide/Brack 12384";"6/16/25";;;;;
"Vizio";"tv";"V555-J01";;;"ONLY HAS THE INDICATOR LIGHT WHICH WAS ON STEADY FOR ONE YEAR, NOW IT STARTED FLASHING. FOR THE PAST YEAR IT HASN'T HAD A PICTURE (NOT EVEN A LOGO) AND NO SOUND";"Parts were not available, okay to dispose. dk";"07/15 okay to dispose. dk

07/15 Parts needed are NLA, so this unit can not be repaired. ((DO NOT say 'we can't fix it' )) dk

X40G055099781A

LTC5E7XY2752136
5/15/2025 Shop Note:
The unit needs main, power supply and LED. K-GP
The needed parts seems to be out of stock. K-GP
Pix of the boards sent to Dale. K
Give estimate. K

6/19/2025, Repair Progress:
Vizio TV needs main, power supply and LED. Pix sent to Dale.
This TV parts GP
";;;;;;;;;;;;;;;;"Main";;;;;;;"Power Supply";"LED";;;;;;
